Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions,datetimeStr,Weather Type
"Gatineau, QC, Canada",08/02/2020,23.1,19.2,21.0,,,36.0,,15.4,,20.9,0.2,88.05,Rain,,
"Gatineau, QC, Canada",08/03/2020,24.0,16.8,20.9,,,0.6,,24.9,39.8,20.6,0.9,79.59,Rain,,
"Gatineau, QC, Canada",08/04/2020,20.9,17.2,19.3,,,23.2,,15.6,,20.7,0.0,91.83,Rain,,
"Gatineau, QC, Canada",08/05/2020,22.9,17.7,19.7,,,1.4,,25.9,37.2,23.4,1.8,73.67,Rain,,
"Gatineau, QC, Canada",08/06/2020,24.9,14.7,19.5,,,0.0,,16.3,,24.0,3.5,63.98,Clear,,
"Gatineau, QC, Canada",08/07/2020,26.9,12.8,20.4,,26.7,0.0,,13.0,,24.0,3.5,67.17,Clear,,
"Gatineau, QC, Canada",08/08/2020,28.7,13.9,22.1,,28.4,0.0,,11.0,,24.0,1.6,67.09,Clear,,
"Gatineau, QC, Canada",08/09/2020,23.0,18.8,20.9,,,1.1,,17.9,,21.4,0.8,84.11,Rain,,
"Gatineau, QC, Canada",08/10/2020,28.9,17.6,22.4,,32.5,0.9,,17.0,27.7,14.3,0.6,86.31,Rain,,
"Gatineau, QC, Canada",08/11/2020,30.7,19.2,23.5,,33.5,7.6,,24.1,48.2,22.7,0.6,85.25,Rain,,
"Gatineau, QC, Canada",08/12/2020,29.8,18.0,23.6,,29.3,0.0,,12.0,,24.0,17.2,68.51,Clear,,
"Gatineau, QC, Canada",08/13/2020,29.5,16.5,23.3,,28.8,0.0,,18.5,29.5,24.0,18.4,61.76,Clear,,
"Gatineau, QC, Canada",08/14/2020,27.1,17.1,22.2,,26.7,0.0,,16.1,,24.0,3.1,58.58,Clear,,
"Gatineau, QC, Canada",08/15/2020,28.0,15.8,21.8,,28.1,0.0,,18.5,,24.0,2.7,65.06,Clear,,
"Gatineau, QC, Canada",08/16/2020,27.8,17.1,20.3,,28.7,22.6,,16.7,29.6,21.8,2.3,80.47,Rain,,
"Gatineau, QC, Canada",08/17/2020,24.9,16.8,19.8,,,31.6,,11.6,46.1,20.1,0.9,82.13,Rain,,
"Gatineau, QC, Canada",08/18/2020,22.2,14.6,17.9,,,2.7,,21.0,40.7,24.0,1.7,74.92,Rain,,
"Gatineau, QC, Canada",08/19/2020,20.8,12.8,16.3,,,0.0,,18.8,33.5,24.0,2.5,72.3,Clear,,
"Gatineau, QC, Canada",08/20/2020,19.2,9.8,15.6,,,0.2,,7.6,,24.0,1.0,80.84,Rain,,
"Gatineau, QC, Canada",08/21/2020,22.8,15.9,19.4,,,1.0,,12.8,,23.5,1.7,80.2,Rain,,
"Gatineau, QC, Canada",08/22/2020,26.8,15.8,21.0,,27.1,0.0,,12.7,,24.0,2.7,70.3,Clear,,
"Gatineau, QC, Canada",08/23/2020,27.9,18.8,22.5,,29.1,11.3,,14.8,42.5,21.2,0.9,79.86,Rain,,
"Gatineau, QC, Canada",08/24/2020,28.0,17.8,22.1,,30.5,15.0,,14.6,37.1,22.2,2.8,85.28,Rain,,
"Gatineau, QC, Canada",08/25/2020,23.0,15.0,20.4,,,0.7,,30.6,44.2,24.0,15.5,72.07,Rain,,
"Gatineau, QC, Canada",08/26/2020,18.2,9.2,14.0,7.7,,0.2,,21.3,37.8,24.0,5.7,62.6,Rain,,
"Gatineau, QC, Canada",08/27/2020,16.2,9.9,13.1,,,4.0,,11.3,,22.8,0.8,84.86,Rain,,
"Gatineau, QC, Canada",08/28/2020,21.9,12.1,16.9,,,0.0,,13.0,,24.0,0.5,77.28,Clear,,
"Gatineau, QC, Canada",08/29/2020,16.9,13.8,15.4,,,28.4,,21.3,37.1,15.3,0.0,92.86,Rain,,
"Gatineau, QC, Canada",08/30/2020,19.9,12.2,15.6,,,1.5,,20.8,35.3,24.0,2.8,73.69,Rain,,
"Gatineau, QC, Canada",08/31/2020,21.7,7.9,15.9,,,0.0,,11.3,,24.0,4.3,70.9,Clear,,
"Gatineau, QC, Canada",09/01/2020,24.2,13.1,19.0,,,0.0,,20.0,29.5,24.0,0.0,78.5,Clear,,
